"FID","MID","VideoID","DelayLeaveDish","TotalWatch","NbFAttacks","NbIntendedFAttacks","NBCourt","TotalCourtDur","CopDur","NaiveNBCourt","NaiveTotalCourtDur","TrialDate","CopulateYN","CopDuringVideo","CannibalizeYN","EatDuringVideo","DelayFirstFAttack","DelayConsum","DelayFirstCourt","DelayNaiveFirstCourt","MTrt","FTrt"
18151,18298,53,67,355,1,3,1,276,1869,1,276,2018-06-17,1,1,0,0,5412,NA,79,79,"AllGrey","RedPreference"
18152,18258,167,101,1540,2,4,28,692,616,3,21,2018-06-18,1,1,0,0,440,NA,401,401,"AllGrey","RedAverse"
18154,18276,50,0,7191,1,1,38,762,1407,30,710,2018-06-22,1,1,0,0,6637,NA,135,135,"RedGrey","RedAverse"
18155,18171,115,383,2415,5,8,34,829,0,24,354,2018-06-08,0,0,1,1,1674,2415,573,573,"AllRed","RedPreference"
18156,18249,99,136,6407,3,4,41,2079,0,5,362,2018-06-24,0,0,1,1,2117,6407,119,119,"AllGrey","RedAverse"
18157,18277,201,15,7277,0,1,32,6016,0,32,6016,2018-07-15,0,0,0,0,NA,NA,23,23,"AllRed","RedPreference"
18158,18322,61,111,4563,0,0,61,1577,1473,61,1577,2018-06-10,1,1,0,0,NA,NA,326,326,"RedGrey","RedAverse"
18159,18382,202,84,7228,0,1,72,4972,0,72,4972,2018-08-17,0,0,0,0,NA,NA,174,174,"Unmanipulated","RedPreference"
18160,18301,170,211,5368,5,15,34,1227,2271,1,43,2018-06-21,1,1,0,0,602,NA,559,559,"AllRed","RedAverse"
18161,18431,113,197,1241,2,2,6,709,1389,2,146,2018-07-09,1,1,1,0,536,NA,385,385,"AllRed","RedPreference"
18162,18537,254,471,7255,3,3,23,420,0,2,95,2018-08-23,0,0,0,0,1192,NA,1090,1090,"AllRed","RedAverse"
18230,18281,159,113,5285,5,9,24,1118,1976,NA,NA,2018-06-06,1,1,0,0,118,NA,3923,NA,"RedGrey","RedPreference"
18231,18200,181,40,4463,5,10,45,1942,954,3,45,2018-06-05,1,1,0,0,236,NA,129,129,"AllGrey","RedAverse"
18232,18259,158,38,1322,0,0,3,429,1944,3,429,2018-06-17,1,1,0,0,NA,NA,886,886,"AllGrey","RedPreference"
18234,18187,255,84,331,0,0,2,197,3481,2,197,2018-06-07,1,1,0,0,NA,NA,132,132,"AllRed","RedPreference"
18253,18205,146,94,6669,2,2,116,2012,1808,7,131,2018-06-10,1,1,0,0,641,NA,456,456,"AllGrey","RedAverse"
18280,18480,62,78,2713,5,7,48,1287,810,1,63,2018-07-21,1,1,1,1,143,3567,98,98,"AllRed","RedPreference"
18285,18198,194,48,6409,0,3,40,3248,793,40,3248,2018-06-13,1,1,0,0,NA,NA,97,97,"AllGrey","RedAverse"
18286,18299,271,252,7245,1,1,104,1527,0,44,836,2018-06-16,0,0,0,0,3322,NA,398,398,"AllRed","RedPreference"
18287,18263,204,1098,7267,0,5,34,4500,0,34,4500,2018-06-15,0,0,0,0,NA,NA,1515,1515,"AllRed","RedAverse"
18288,18315,256,3420,7191,0,0,17,627,0,17,627,2018-06-15,0,0,0,0,NA,NA,3750,3750,"RedGrey","RedPreference"
18289,18140,34,102,440,9,12,1,338,630,1,338,2018-06-16,1,1,0,0,130,NA,102,102,"AllRed","RedAverse"
18290,18268,149,99,2135,7,11,36,1765,1933,9,286,2018-07-01,1,1,1,0,450,NA,112,112,"AllGrey","RedPreference"
18291,18206,268,116,7174,1,2,10,390,0,NA,NA,2018-06-26,0,0,0,0,254,NA,1530,NA,"AllRed","RedAverse"
18302,18265,28,504,1820,8,9,36,1334,1658,3,138,2018-06-29,1,1,1,1,300,3478,146,146,"RedGrey","RedPreference"
18303,18257,114,902,6525,14,28,63,1235,0,NA,NA,2018-07-01,1,1,1,1,954,6525,993,NA,"RedGrey","RedAverse"
18304,18273,70,36,804,0,0,1,469,2394,1,469,2018-06-26,1,1,0,0,NA,NA,335,335,"AllRed","RedPreference"
18305,18220,39,433,2155,3,4,25,1202,2463,11,553,2018-06-20,1,1,1,0,1176,NA,187,187,"AllGrey","RedAverse"
18306,18311,248,54,7192,1,6,72,529,0,2,3,2018-06-18,0,0,1,0,144,NA,118,118,"AllGrey","RedPreference"
18307,18403,31,NA,262,1,1,NA,NA,NA,NA,NA,2018-07-08,0,0,1,1,262,262,NA,NA,"AllRed","RedAverse"
18308,18394,137,122,696,0,0,5,498,1571,5,498,2018-07-15,1,1,1,0,NA,NA,168,168,"RedGrey","RedPreference"
18309,18450,68,100,2522,2,2,36,1507,1395,NA,NA,2018-07-22,1,1,0,0,226,NA,239,NA,"AllRed","RedAverse"
18310,18222,32,93,7381,0,0,130,1714,0,130,1714,2018-06-29,0,0,0,0,NA,NA,314,314,"RedGrey","RedPreference"
18326,18219,93,181,3106,8,15,24,840,0,1,78,2018-06-24,0,0,1,1,540,3106,514,514,"AllGrey","RedAverse"
18327,18262,40,294,978,0,0,2,876,635,2,876,2018-07-03,1,1,0,0,NA,NA,98,98,"AllGrey","RedPreference"
18328,18250,76,101,1552,1,1,7,1266,2158,3,77,2018-07-02,1,1,1,0,210,NA,117,117,"AllGrey","RedAverse"
18329,18224,206,311,7216,0,4,45,4642,0,45,4642,2018-06-25,1,0,0,0,NA,NA,34,34,"AllGrey","RedPreference"
18330,18389,79,56,1889,0,0,7,1298,1826,7,1298,2018-06-30,1,1,1,0,NA,NA,414,414,"AllGrey","RedAverse"
18331,18292,83,96,643,1,1,1,537,3169,1,537,2018-07-01,1,1,0,0,106,NA,106,106,"AllRed","RedPreference"
18332,18226,207,778,7200,5,8,41,3158,0,1,248,2018-06-22,0,0,0,0,826,NA,780,780,"AllGrey","RedAverse"
18333,18248,43,182,677,1,1,2,345,1949,2,345,2018-06-22,1,1,0,0,3609,NA,328,328,"AllRed","RedPreference"
18334,18531,251,17,7190,7,17,82,5152,0,27,1661,2018-09-11,1,0,0,0,2147,NA,100,100,"Unmanipulated","RedAverse"
18336,18217,245,138,7217,0,1,76,2155,0,76,2155,2018-07-01,0,0,0,0,NA,NA,85,85,"RedGrey","RedAverse"
18337,18433,208,582,7194,0,0,24,4285,0,24,4285,2018-08-08,0,0,0,0,NA,NA,1296,1296,"AllGrey","RedPreference"
18338,18244,209,244,7252,1,1,68,2787,0,27,1245,2018-07-02,0,0,0,0,3317,NA,175,175,"AllRed","RedAverse"
18339,18570,182,18,1039,3,4,10,969,1794,2,278,2018-08-20,1,1,1,0,315,NA,29,29,"AllRed","RedPreference"
18340,18457,222,32,7185,0,5,60,2279,0,60,2279,2018-08-07,0,0,1,0,NA,NA,601,601,"AllRed","RedAverse"
18341,18387,270,183,7282,8,9,77,4058,0,NA,NA,2018-07-03,0,0,0,0,261,NA,263,NA,"AllRed","RedPreference"
